level	syncretism_group	lexeme_id	form	n_cells	cells	past_cells	cross_tense	binyan
vocalized	LX-0da79b5838:V1	LX-0da79b5838	תִּדְחֹף	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0da79b5838:V2	LX-0da79b5838	תִּדְחֹפְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0dd13b0a79:V1	LX-0dd13b0a79	תִּשַּׁךְ	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0dd13b0a79:V2	LX-0dd13b0a79	תִּשַּׁכְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0ddcd20481:V1	LX-0ddcd20481	הִתְפַּרְסֵם	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-0ddcd20481:V2	LX-0ddcd20481	הִתְפַּרְסְמוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HITPAEL
vocalized	LX-0ddcd20481:V3	LX-0ddcd20481	תִּתְפַּרְסֵם	2	FUT.2MSG|FUT.3FSG		False	HITPAEL
vocalized	LX-0ddcd20481:V4	LX-0ddcd20481	תִּתְפַּרְסֵמְנָה	2	FUT.2FPL|FUT.3FPL		False	HITPAEL
vocalized	LX-0e4055578f:V1	LX-0e4055578f	נָדוֹן	2	PST.3MSG|PRS.MSG	PST.3MSG	True	NIFAL
vocalized	LX-0e4e65521d:V1	LX-0e4e65521d	תְּתָאֵר	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-0e4e65521d:V2	LX-0e4e65521d	תְּתָאֵרְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0e88603fe5:V1	LX-0e88603fe5	תִּמְסֹר	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0e88603fe5:V2	LX-0e88603fe5	תִּמְסֹרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0eb21333e9:V1	LX-0eb21333e9	הִתְפַסְפֵס	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	
vocalized	LX-0eb21333e9:V2	LX-0eb21333e9	הִתְפַסְפְסוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	
vocalized	LX-0eb21333e9:V3	LX-0eb21333e9	תִּתְפַסְפֵס	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-0eb21333e9:V4	LX-0eb21333e9	תִּתְפַסְפֵסְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-0ec3e07334:V1	LX-0ec3e07334	תִּסְדֹּק	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-0ec3e07334:V2	LX-0ec3e07334	תִּסְדֹּקְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-0f2d5000b4:V1	LX-0f2d5000b4	הִתְנַוֵּל	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-0f9c3c2451:V1	LX-0f9c3c2451	תֵּאָצֵל	2	FUT.2MSG|FUT.3FSG		False	NIFAL
vocalized	LX-0f9c3c2451:V2	LX-0f9c3c2451	תֵּאָצֵלְנָה	2	FUT.2FPL|FUT.3FPL		False	NIFAL
vocalized	LX-0fc1f0960a:V1	LX-0fc1f0960a	הֵטִיבוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HIFIL
vocalized	LX-0fc1f0960a:V2	LX-0fc1f0960a	תֵּטִיב	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-0fc1f0960a:V3	LX-0fc1f0960a	תֵּטֵבְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-0fcb10ec41:V1	LX-0fcb10ec41	תָּבִיס	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-0fcb10ec41:V2	LX-0fcb10ec41	תָּבֵסְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-0fd0d7ce47:V1	LX-0fd0d7ce47	נֵעוֹר	2	PST.3MSG|PRS.MSG	PST.3MSG	True	NIFAL
vocalized	LX-1027ba49a0:V1	LX-1027ba49a0	תֵּדַע	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-1027ba49a0:V2	LX-1027ba49a0	תֵּדַעְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-1053f15348:V1	LX-1053f15348	תִּמְלֹךְ	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-1053f15348:V2	LX-1053f15348	תִּמְלֹכְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-106744db77:V1	LX-106744db77	תְּשַׁדֵּר	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-106744db77:V2	LX-106744db77	תְּשַׁדֵּרְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-108b21f90e:V1	LX-108b21f90e	תַּצִּיל	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-108b21f90e:V2	LX-108b21f90e	תַּצֵּלְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-10a8c597e8:V1	LX-10a8c597e8	תַּזְכִּיר	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-10a8c597e8:V2	LX-10a8c597e8	תַּזְכֵּרְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-10ba36eee3:V1	LX-10ba36eee3	תָּעִיר	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-10ba36eee3:V2	LX-10ba36eee3	תָּעֵרְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-10d9508264:V1	LX-10d9508264	הִתְפּוֹצֵץ	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-10d9508264:V2	LX-10d9508264	הִתְפּוֹצְצוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HITPAEL
vocalized	LX-10d9508264:V3	LX-10d9508264	תִּתְפּוֹצֵץ	2	FUT.2MSG|FUT.3FSG		False	HITPAEL
vocalized	LX-10d9508264:V4	LX-10d9508264	תִּתְפּוֹצֵצְנָה	2	FUT.2FPL|FUT.3FPL		False	HITPAEL
vocalized	LX-112318d6be:V1	LX-112318d6be	תְּפַהֵק	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-112318d6be:V2	LX-112318d6be	תְּפַהֵקְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-113c768d0c:V1	LX-113c768d0c	הִתְקַדֵּם	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-113c768d0c:V2	LX-113c768d0c	הִתְקַדְּמוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HITPAEL
vocalized	LX-113c768d0c:V3	LX-113c768d0c	תִּתְקַדֵּם	2	FUT.2MSG|FUT.3FSG		False	HITPAEL
vocalized	LX-113c768d0c:V4	LX-113c768d0c	תִּתְקַדֵּמְנָה	2	FUT.2FPL|FUT.3FPL		False	HITPAEL
vocalized	LX-11450e52db:V1	LX-11450e52db	תְּסַכֵּן	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-11450e52db:V2	LX-11450e52db	תְּסַכֵּנָּה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-114ebed813:V1	LX-114ebed813	תְּרַתֵּךְ	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-114ebed813:V2	LX-114ebed813	תְּרַתֵּכְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-1150a9cb62:V1	LX-1150a9cb62	הִתְגּוֹנֵן	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-117900dfa8:V1	LX-117900dfa8	הִתְרַגֵּז	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	
vocalized	LX-117900dfa8:V2	LX-117900dfa8	הִתְרַגְּזוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	
vocalized	LX-117900dfa8:V3	LX-117900dfa8	תִּתְרַגֵּז	2	FUT.2MSG|FUT.3FSG		False	
