duplicate_type	record_ids	lemma	details
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	יִקְטְנוּ	cells FUT.3MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	יִקְטַן	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-870b26ad1b|LX-c423043573	יִרְאוּ	cells FUT.3MPL|IMP.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	יִתְוַכְּחוּ	cells FUT.3MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	יִתְוַכֵּחַ	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-8f40a0b7e1|LX-f55c3a8575	יַעֲלֶה	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-8f40a0b7e1|LX-f55c3a8575	יַעֲלוּ	cells FUT.3MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35a9911948|LX-6c1729499c	יָבִין	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35a9911948|LX-6c1729499c	יָבִינוּ	cells FUT.3MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-cb3cae2754|LX-f09e5ec94e	יָגוּר	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-86abe8f7a2|LX-8959494ff1	יָלִיץ	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-24eb7af26f|LX-870b26ad1b	יָרֵא	cells IMP.2MSG|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-bb08afbca2|LX-fa50a91874	יָשִׂים	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-6e20d2b2c4|LX-f7cee11cd2	יוֹדֶה	cells FUT.3MSG|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3266106ba0|LX-bce671e703	יוֹרֶה	cells FUT.3MSG|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-01e1ef29e8|LX-82f9f837f2	יוּחַל	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4a500afd61|LX-c1f97768fb	כּוֹפֵף	cells IMP.2MSG|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-2cca5b2c4c|LX-e0150c9798	לְבַיֵּשׁ	cells NFIN
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	לְהִתְוַכֵּחַ	cells NFIN
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	לִקְטֹן	cells NFIN
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-76ce1005b0|LX-ad8d500584	לָצֹר	cells NFIN
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-2cca5b2c4c|LX-e0150c9798	מְבַיֵּשׁ	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0e88603fe5|LX-82720ad029	מְסִירָה	cells MSDR|PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-c4177147a0|LX-d7299b7567	מְרִיחָה	cells MSDR|PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	מִתְוַכְּחִים	cells PRS.MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	מִתְוַכְּחוֹת	cells PRS.FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	מִתְוַכֵּחַ	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	מִתְוַכַּחַת	cells PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-20babe10e6|LX-f55c3a8575	מַעֲלִים	cells PRS.MPL|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0c975d4a1c|LX-604cf9784b	מָחָה	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-47d1ab4b74|LX-5a876c8f8f	מוֹדֵד	cells IMP.2MSG|PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-b0551b1795|LX-d00cc5ab8c	מוֹנֶה	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-01e1ef29e8|LX-82f9f837f2	מוּחָל	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4b66ac5abe|LX-f5a3110c70	נִבְחַר	cells FUT.1PL|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0a3565f373|LX-e2d7408010	נִבְנֶה	cells FUT.1PL|PRS.MSG
